ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,269677,135652,127323,288755,139908,148847,298875,155381,134863,234302,108552,120347,233498,110675,116232,233674,120014,107722,287564,146246,127349,280730,145074,126348,561578,326895,13392,207745,6104,7386,283,204907,5128,1689,876,0,756852,406836,36392,292730,14348,11424,1112,0,0,559280,323745,13614,208056,6304,7589,508,0,0,0,0,0,753197,400785,36990,293134,14482,11680,1386,280176,10610,1885,753,1062,20936,770286,430356,32427,291832,12257,7040,814,0,0,578395,344299,21006,201222,8658,5224,539,0,0,580084,314062,29666,204335,9768,1790,282,1415,18766,752831,383786,45763,292036,16909,17902,1099,580084,314062,29666,212149,12180,13516,674
4,2,270262,67132,195170,304598,72824,231774,309914,75046,226385,224607,52026,164184,224079,54501,163136,224226,58700,159114,286947,69854,200409,280861,79250,189087,573575,515715,12053,32841,3034,9629,162,31385,2379,2641,416,0,753791,651893,29663,52246,7622,13699,992,0,0,576530,516574,12033,34170,3181,10259,127,0,0,0,0,0,757542,648370,30432,53909,7530,14310,979,45122,5321,3292,681,1170,23154,734692,651941,24337,43336,5829,10329,770,0,0,565991,511680,14618,28119,4228,7773,530,0,0,585609,495367,21398,34224,4823,2834,941,1180,24842,754478,622069,34539,57936,9156,25793,2354,585609,495367,21398,38209,6553,19705,1396
1,3,252468,85596,158520,295161,107638,187523,299889,108382,182609,204293,64002,134492,203460,67406,129830,203660,70228,126801,259383,81123,158127,256719,83746,161322,496650,415630,36954,16841,11767,13985,1042,15512,10467,6301,666,0,722334,532000,107600,28698,28099,22183,8254,0,0,508025,421115,41195,17448,12183,14779,979,0,0,0,0,0,734674,527933,110672,30518,29842,23293,9071,21014,23833,6961,8237,3896,32128,645902,496948,86062,21658,20061,19205,5676,0,0,476119,384592,50011,13221,14005,12854,3116,0,0,564777,406439,76432,15793,20063,7534,6646,1414,30456,751754,512015,120571,31925,32974,45649,13160,564777,406439,76432,20162,23474,31982,7420
3,4,274464,76719,190804,304747,79020,225727,310391,85123,216790,228307,58638,163383,227698,60953,161235,227859,66157,156031,296598,83222,198859,289034,92481,185107,575447,464439,16097,82381,3533,8218,211,80929,3034,3109,713,0,766393,581724,50475,115518,7826,11814,1107,0,0,575629,463229,16677,82993,3498,8297,231,0,0,0,0,0,766460,578011,51535,116322,8095,11997,1297,109173,5625,3774,587,846,16909,764950,594211,43210,111844,6775,11014,589,0,0,583883,468324,25453,78496,4608,8021,381,0,0,581803,437904,34506,76883,5021,3533,381,1251,22324,752461,545680,55974,114071,9519,26270,1261,581803,437904,34506,81358,6532,19709,803
