ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,305708,149452,149974,369103,189881,174500,368664,188087,174324,251218,125558,119271,252175,133407,118492,302748,142261,144001,295146,118107,170216,549819,368396,18952,150528,7046,4279,222,147834,5604,1493,1123,0,720548,443231,52352,207445,14448,6769,984,0,0,559093,375612,19703,151119,7598,4329,187,0,0,0,0,0,731030,449740,54353,207928,15965,6608,1070,195161,10559,1528,593,1937,17159,639467,384419,47353,194896,10936,6075,1167,0,0,497262,317124,31529,138596,7910,4379,742,0,0,582009,375114,44212,131732,9503,1887,479,2034,17048,731219,446640,66746,187762,17695,14966,1617,582009,375114,44212,139231,13007,11004,1095
3,2,305838,104995,194518,361059,130963,224213,360765,128223,227198,250450,85505,159463,251005,94748,155937,312161,101608,196516,304607,91039,204266,546700,399564,13169,124295,4897,4088,173,121994,3977,1500,800,0,728194,498504,42886,171674,11498,6192,904,0,0,553927,403438,14903,125339,5348,4171,118,0,0,0,0,0,735401,501231,44242,173024,12746,6105,716,161364,9268,1704,301,1101,16192,688154,479658,36349,160772,8244,5939,752,0,0,526698,380034,23354,114768,5848,4363,502,0,0,569751,393890,32467,115250,7894,1635,250,1625,16740,730885,484799,50971,166157,14606,16813,1130,569751,393890,32467,121682,10167,12419,732
1,3,282540,94047,182580,341000,120997,215058,340831,118131,216903,227723,76334,146913,228139,85323,142412,284279,88704,181547,277722,76677,193435,530161,413960,15425,90783,6162,3300,314,88649,5196,1128,643,0,708082,517332,47575,127479,12710,6623,1351,0,0,541512,420088,17643,92588,6830,3326,360,0,0,0,0,0,719621,521935,49464,130266,13907,6719,1487,117640,10505,1225,709,1931,16216,653359,489342,37144,115156,9390,4668,608,0,0,502590,388534,23971,81268,6779,3428,386,0,0,573805,418642,39624,85411,9069,1226,267,1689,17877,730631,512862,60479,126578,15435,16545,1098,573805,418642,39624,91491,11562,12514,734
2,4,295717,95702,193749,359944,125259,228694,359865,121992,232068,236915,76619,156044,237337,84324,152614,295627,89051,192332,288790,78911,201351,507644,395884,16384,81647,9595,3579,417,79264,8782,1265,784,0,694275,509335,45345,115074,21302,6099,1300,0,0,517594,402395,17775,82820,10260,3473,412,0,0,0,0,0,706988,515625,47552,116714,22789,6177,1246,105680,18861,1390,661,1703,15508,624831,471303,34549,101370,15067,4583,611,0,0,470472,365566,21604,70994,10100,3213,383,0,0,560462,407387,36605,80965,15644,1394,238,1735,16494,731442,513400,56565,120914,25720,15648,951,560462,407387,36605,86839,17889,11434,592
4,5,299299,161493,132114,353360,197438,151569,353090,194352,153659,249131,134382,108721,249597,143866,105507,301054,157108,130524,293346,142529,143182,541083,309185,17069,201010,8498,4836,338,196850,7368,2086,1006,0,716831,382364,35995,276926,19065,8008,1118,0,0,548013,312514,17269,204062,8494,4826,379,0,0,0,0,0,726176,384372,37909,280417,19969,7847,1368,265131,15414,2889,609,2678,17185,663516,364831,29488,254134,13433,6625,1095,0,0,507668,293202,19816,183060,9848,4629,736,0,0,570526,310367,30508,196059,12821,2077,394,1875,16425,731733,378147,45322,277213,21841,14691,1470,570526,310367,30508,205860,15877,10598,1038
5,6,305953,171225,131092,353890,200228,149819,353490,196538,153421,249622,140505,104783,250062,145551,104335,322220,178316,136131,312892,167100,140382,580211,273278,8925,287268,4312,5875,247,284655,3642,2687,1014,0,759235,337369,22416,386342,8348,8313,1363,0,0,579135,271564,10369,286240,4462,6011,183,0,0,0,0,0,755290,334348,22846,383961,8478,8503,1362,371918,6103,3338,311,1345,15068,782168,355260,19379,396067,7570,8457,664,0,0,594409,284651,12950,288010,5377,6067,419,0,0,574166,265140,15103,270443,5585,3137,203,1243,13312,731239,322065,22593,366608,9992,13940,1034,574166,265140,15103,278512,7299,10274,674
7,7,298311,109659,183392,376748,146062,225284,376624,144218,227530,238775,90790,142837,239255,96962,142045,284938,98325,174338,277390,82659,188777,528226,411522,14245,89047,8485,4397,190,87658,6314,1903,539,0,693641,508286,38889,125479,16120,6922,608,0,0,550446,427607,14964,93221,9454,4669,145,0,0,0,0,0,717011,522860,40531,130721,16809,6945,507,120232,12090,2011,200,2845,16246,573869,417927,31420,109793,11034,5824,983,0,0,445791,336656,20952,77015,7880,4169,640,0,0,583741,433435,32605,84807,9756,1977,381,2397,18383,731276,520639,50162,125296,18377,15508,1437,583741,433435,32605,91041,13031,11486,981
