ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,296967,174409,110455,331286,186281,136038,333381,201734,123573,252126,155421,96705,250614,168133,70851,252741,145694,65848,287350,148883,100357,513568,236034,223592,15057,12643,25346,329,13254,10113,22758,782,0,705719,276238,349513,28394,27081,44531,1202,0,0,519238,234852,229050,15177,13319,25877,273,0,0,0,0,0,706881,270822,352017,28550,26406,46039,1805,16998,17842,28823,370,3081,16928,687334,289050,324833,26943,22281,42085,1872,0,0,522154,244617,223653,17828,15906,29059,1223,0,0,556663,233001,248654,14799,16444,24497,490,2849,15929,705781,268283,339817,32189,30163,58274,2363,556663,233001,248654,22118,22395,42523,1629
1,2,234345,100306,126360,264782,107944,149388,267833,112019,150340,198079,90713,107366,196845,98493,88020,197802,87948,81767,231972,90261,118458,470236,215722,228935,10045,3747,11351,142,9154,2854,9308,560,0,689077,260163,390041,17467,9841,21320,778,0,0,476045,213863,235442,10521,3529,12086,267,0,0,0,0,0,691298,255218,395259,18360,10067,22946,1162,12114,6098,11926,324,1133,9231,679967,284527,359379,17130,8228,22804,1471,0,0,503318,237432,239583,11124,5909,15714,969,0,0,535664,218022,278408,9525,5557,8912,380,2441,12419,705850,256731,397757,20770,11766,33764,1778,535664,218022,278408,13959,8641,24579,1272
3,3,285443,167010,108978,321169,180258,133057,322751,187861,127981,246254,152234,94020,244351,160957,72425,246469,143356,65198,278997,146090,100852,512461,207927,186052,7542,4818,105396,474,6384,3614,101597,760,0,697658,245868,281263,14811,11887,160347,1570,0,0,516111,208218,188448,7583,4984,106161,606,0,0,0,0,0,698842,243099,284512,15411,12469,160086,1544,8863,7388,139132,714,1720,13409,691878,260233,269191,12967,9947,154623,1355,0,0,515035,215799,188090,8012,6829,103681,823,0,0,546662,213039,199702,6454,6988,103951,329,2635,13564,705891,247938,273237,15450,14068,171577,1871,546662,213039,199702,10345,10186,121375,1303
