ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
13,10,320206,209470,104422,400292,272813,119248,278842,178668,100174,287437,181960,105477,316290,204513,93082,500574,300324,72842,36193,81507,4060,2192,33295,72291,1068,3974,0,738233,382648,138811,60982,156938,11608,8901,0,0,513145,298529,77881,37660,88379,4123,2250,0,0,0,0,0,746908,373439,140945,64429,170181,12264,9154,47372,138797,1354,3510,2119,39372,676044,383183,128081,48673,115486,9918,6132,0,0,505356,305441,84208,32131,80168,6655,3881,0,0,583564,287257,108745,36219,117287,1480,2605,3287,26684,760063,346577,156264,63512,186177,19383,8685,583564,287257,108745,44346,133240,14053,5800,759979,346509,155951,63224,185206,19147,8431
4,11,352238,305037,40739,395335,341122,46424,321094,279818,41276,328523,285534,42989,364796,313594,32431,570750,285525,61410,33268,182016,3704,1523,30538,171328,1238,3702,0,755095,341333,101299,46662,265021,8486,5664,0,0,568640,281865,61504,33754,182531,3493,1618,0,0,0,0,0,753734,334717,100578,49491,267832,9291,5541,36492,232847,1571,2221,4488,40820,692220,325416,91340,47670,227603,9371,4622,0,0,607235,297548,74640,38886,194223,7748,3516,0,0,665588,297721,87323,33392,209496,1289,1972,4805,29590,758934,329081,106037,50977,264679,15488,5691,665588,297721,87323,42660,228793,12860,4509,759793,329204,106203,50684,263935,14493,5559
12,12,323209,290787,26240,371664,333075,30914,294440,268718,25722,299650,271918,27732,329850,289657,20842,511073,218060,73097,101446,107407,4038,2982,95623,98734,1796,5054,0,737647,262947,160194,145571,173058,14893,8618,0,0,514618,220540,74831,98885,109116,3908,3138,0,0,0,0,0,739116,263079,158410,142842,177067,15939,8156,117966,148769,2082,4042,4036,40731,681752,240801,138866,149737,155500,13262,5911,0,0,546493,209907,95996,114408,125206,9611,3993,0,0,620561,223959,129410,95125,132208,1593,2787,4187,31292,757951,255974,176463,138940,183283,25229,8002,620561,223959,129410,110797,149824,18868,5628,759477,256041,176694,138722,182850,22763,7800
19,13,185600,102671,79608,239629,133123,101074,159498,90028,69470,161826,87193,74633,185273,100978,73724,406123,153938,195529,20810,28161,4795,1358,19442,26536,2198,1737,0,745254,194697,458203,34837,57385,16007,4162,0,0,414328,151610,205653,20430,29336,4277,1631,0,0,0,0,0,750304,190145,466412,33812,59427,16729,4200,24782,49298,2465,1849,1675,13665,700513,211890,402793,34145,52185,17701,4479,0,0,480212,170917,249179,21500,35469,11709,2895,0,0,541461,145131,317954,17685,40509,2681,1541,2486,13474,761944,175189,481884,34900,64662,39010,5349,541461,145131,317954,23043,47118,26988,3477,760844,174665,481324,35787,65289,37810,5181
15,14,263041,187524,70403,330334,237506,85987,225682,160480,65202,231662,162797,68865,267038,189613,61878,480197,183051,96972,36219,151167,3347,5442,33680,144265,1870,4280,0,757380,225772,190262,54230,283928,9922,15513,0,0,483600,178315,100039,37134,154981,3242,5689,0,0,0,0,0,759099,215540,190299,55176,296110,10879,15658,44184,266351,2179,8092,2086,30368,680702,233785,179121,57023,207789,11162,14684,0,0,511063,193424,119647,38672,153564,7652,10126,0,0,591215,162411,140806,32699,221366,1264,7122,2875,22672,759440,189028,196172,53993,312594,20492,15646,591215,162411,140806,40502,237304,15533,11766,760095,189123,196425,53910,311927,20216,15451
6,15,294573,226324,63437,359265,277879,74507,260163,199743,60420,265421,200696,64725,295363,226755,54277,504145,196068,93502,17296,185736,2085,5984,15380,179164,790,3561,0,763316,248626,183762,28380,300193,7748,14002,0,0,508375,193364,96830,16978,190437,2102,5475,0,0,0,0,0,763136,242622,183085,27870,307447,9342,13278,18273,275737,996,7889,3886,30648,714923,254112,178031,28873,250183,8280,13318,0,0,562318,212575,127785,21063,195682,5899,9212,0,0,611344,195662,138280,14650,230570,840,5826,4224,21292,758761,230281,184288,26491,307786,16419,12423,611344,195662,138280,20492,246252,12628,9338,759691,230459,184618,26787,306976,16010,12294
17,16,272046,192748,73948,342244,240196,94915,234732,166233,68499,238893,166760,72133,274052,197979,60412,486092,178688,132438,16338,150823,3407,1931,14668,144045,1121,2841,0,766496,221682,265923,28618,252525,13476,6972,0,0,490544,176097,134018,16919,155546,3267,1943,0,0,0,0,0,767988,216256,263344,30429,260789,14049,7556,19199,235981,1327,3107,1938,26838,721435,228000,262624,27583,205552,12959,6061,0,0,537146,188533,174930,19333,152989,8934,4022,0,0,592617,171600,188993,16195,192364,1262,2004,2648,17551,757403,201055,260727,28749,264550,24109,6530,592617,171600,188993,21448,205555,18066,4683,759289,201326,261814,29560,263629,22013,6273
16,17,239911,174973,60331,303931,219888,77935,204810,149372,55438,209211,150616,58595,243632,180072,49381,445900,146784,79283,18069,194186,2878,2481,16408,187259,1176,2482,0,758627,182505,151501,29987,393169,9066,8084,0,0,437815,142540,78687,17072,192056,2670,2177,0,0,0,0,0,756095,176129,147302,28797,402467,8702,8223,21954,376704,1391,3288,2338,26989,681469,193949,148178,25776,314637,9378,6674,0,0,525608,166573,101336,18218,237666,6461,4584,0,0,604586,141081,109409,14239,316055,943,2090,3048,17721,758742,160922,149412,25036,419969,15822,6550,604586,141081,109409,18907,329728,11763,4720,760004,161151,150045,25268,419063,15154,6377
18,18,255484,163482,87074,317028,208760,101259,225858,143541,82317,228613,141294,87319,254534,160902,77958,434407,222140,163180,12804,27623,4331,1653,11385,23503,1471,2797,0,751746,266711,412706,21038,52141,13511,5747,0,0,439440,217578,170448,13176,29152,4472,1629,0,0,0,0,0,747803,258757,413743,21723,54273,14668,6211,13249,37218,1443,1966,1251,20176,713287,271523,373082,21870,48341,16852,5163,0,0,521131,226894,241474,15328,35507,11536,3461,0,0,574059,212529,293477,10549,33097,1969,1956,2682,17800,763926,247629,430558,21332,58242,37727,6594,574059,212529,293477,15793,44205,26732,4651,760314,247055,429424,21506,58264,35258,6478
5,19,336954,259688,70249,387308,305824,72559,309161,236328,72833,314772,238343,76429,339502,258250,59502,484405,304105,51949,12453,106991,4132,2000,10287,99632,1217,3021,0,752832,386859,115569,20518,225643,10308,6211,0,0,488761,304335,55197,12602,107962,4224,2125,0,0,0,0,0,752649,383060,111821,21355,231077,10879,5870,12941,205924,1372,3069,2893,31567,709132,391774,109998,19970,181857,8692,6703,0,0,552834,325058,75479,14755,132396,6290,4575,0,0,609156,305889,88860,11190,171722,1010,2896,3402,24187,759058,359282,120719,20436,244213,15244,7049,609156,305889,88860,16017,185346,11726,5161,760124,359574,121193,20717,244011,15067,6987
22,20,258471,86840,167427,327598,116647,203742,227670,76139,151531,230566,76121,154445,254970,80091,161002,484374,293081,139322,16166,25845,8106,516,14558,22882,3632,1713,0,735011,373899,278349,28609,48234,17802,3815,0,0,492579,293764,145658,16457,26079,8583,505,0,0,0,0,0,743650,368955,287206,30478,50073,18508,3757,20482,36044,5261,852,2831,22012,692790,385322,236339,23834,39348,20374,2982,0,0,498563,301791,147250,14864,26600,13760,1806,0,0,561159,284944,200291,15693,30551,4928,893,2917,20942,764320,354557,305706,32306,53539,35855,3945,561159,284944,200291,20976,37696,25284,2535,759380,354046,302632,31266,53190,36270,3736
21,21,186878,105978,77822,240071,138882,96066,161890,92324,69566,164444,89681,74763,184694,103342,71276,433803,143146,216317,25872,40738,5892,723,23940,38991,2483,1470,0,744938,173609,453468,43711,76736,18064,3144,0,0,445254,141699,227702,25991,42388,5696,746,0,0,0,0,0,748195,170365,457531,44228,78970,18916,3319,32635,67827,2924,1051,1157,14707,714312,188595,412552,44134,71521,19349,2632,0,0,493026,157228,259122,27882,47087,12677,1680,0,0,539980,134827,311410,23914,51214,3122,637,2421,12435,756948,160080,466549,45689,83148,33175,3216,539980,134827,311410,29970,57657,23069,2166,760530,160622,468675,46605,83507,34575,3195
23,22,152637,82498,67242,202458,109831,87748,126746,69530,57216,127992,67523,60469,157306,84067,64343,405235,122431,222575,33009,20786,5113,558,31251,19396,2533,1159,0,767047,151461,523193,51603,42269,14209,2921,0,0,409428,118327,229928,32939,22051,4668,608,0,0,0,0,0,767605,146288,527955,52997,44891,13203,3859,40535,34833,2711,797,1074,13417,738263,173361,472949,55644,37616,18486,2342,0,0,499706,140807,292256,37738,26312,12118,1434,0,0,548280,113099,357077,30748,30268,3244,678,2225,10941,782040,137517,540357,52806,48572,31177,3159,548280,113099,357077,36355,36059,21772,2153,759727,133138,528615,48470,49332,34500,2895
32,23,231133,93767,133472,301800,128681,166214,196211,80024,116187,198700,77680,121020,235601,91001,131824,482705,252818,161545,41682,16963,6843,1690,38555,14656,3572,1793,0,725555,317850,300780,72366,34238,17348,4850,0,0,488840,247755,167813,43578,18914,7493,1476,0,0,0,0,0,732033,308519,308612,75415,39132,19763,5736,56327,24208,4420,2302,1274,26371,691852,353299,241252,63299,29603,19739,5117,0,0,497776,283162,148471,38843,20551,13384,3022,0,0,567745,256003,213557,44168,23316,4189,2091,3254,21167,761269,308331,319565,81598,40761,35111,6522,567745,256003,213557,54072,30452,25407,4174,759988,308319,318549,80103,40507,34777,6285
20,24,319627,194273,118394,377380,237754,130655,288262,175739,112523,294066,173776,120290,323212,190128,110739,524453,343643,130212,13416,28712,6415,583,11506,23835,2709,1965,0,760683,404541,282636,21348,50506,16393,3828,0,0,529019,341954,135645,13453,29563,6164,561,0,0,0,0,0,762325,400467,285710,21609,52558,17069,3849,13141,36010,2736,633,1592,22036,729168,411137,253401,19633,42239,17151,3262,0,0,573653,351532,170095,14602,32849,12370,2265,0,0,611182,332471,206032,10211,33382,2441,738,3323,22584,764033,381643,293604,20545,55230,31636,4047,611182,332471,206032,15646,44313,23372,2822,759398,380624,292230,19238,55060,30456,3963
24,25,223372,131433,88788,289857,172376,112385,189358,112154,77204,190909,109805,81104,228375,132738,85495,492544,217804,231735,22219,12642,6379,732,20547,11469,3971,1226,0,765925,252764,449165,35404,27085,15326,2782,0,0,501461,216026,240762,22637,13928,6396,584,0,0,0,0,0,767548,249140,451351,37036,29058,15555,3394,26561,21118,4670,955,1347,12406,733301,261085,418013,30753,22857,15647,2284,0,0,539262,228572,270199,21310,16478,10417,1482,0,0,591404,207548,328656,19727,16376,4206,648,2201,12042,769898,229581,469531,35847,29179,30691,3246,591404,207548,328656,25233,22359,22121,2112,760334,228856,463631,34237,29813,33092,3171
31,26,308093,173838,128158,378336,222079,148295,271247,151969,119278,275024,149969,125055,310296,171577,120350,502896,278522,161996,12670,43150,3796,1094,10981,38771,1326,1847,0,764004,340352,326564,22239,76418,15122,4070,0,0,507930,276744,167759,12684,43237,4056,1099,0,0,0,0,0,761730,336370,326851,22747,75696,15582,5184,13549,58201,1357,1645,1774,21983,740899,353927,300355,19246,67500,13228,3641,0,0,546178,284080,198243,12991,48896,8939,2391,0,0,587332,268321,232978,10479,51250,1308,1039,2853,19104,758888,317510,330494,22185,81430,28245,4543,587332,268321,232978,15917,61824,20500,3127,760221,317775,331383,23189,81792,27625,4569
30,27,264230,141028,117907,337687,185201,144999,228484,123625,104859,232366,121334,111032,261785,134770,111340,475100,212693,159269,52160,43529,5749,571,49078,40373,1917,2246,0,713386,268615,289788,83309,74605,16204,3638,0,0,470801,204434,164356,52868,41710,5186,711,0,0,0,0,0,710861,257074,297082,84065,72547,15973,3908,69237,58038,3006,1120,2622,22682,700447,298025,256525,82416,65912,11903,3296,0,0,500038,235279,163625,52826,46639,8031,2085,0,0,571262,211419,226984,54732,52453,1761,825,3423,19665,760132,254528,326919,94262,83094,27090,3998,571262,211419,226984,65302,61957,20120,2777,759987,254568,327007,92624,82893,27674,3888
49,28,318968,213321,99472,393523,267107,118164,281641,190263,91378,285653,187608,98045,317689,208507,90453,523217,213297,171881,33834,97788,3376,847,31004,92983,1001,2756,0,769739,257465,299786,48477,168712,17387,4220,0,0,527375,210396,178430,34269,98125,3019,793,0,0,0,0,0,765684,253082,297585,49707,171044,17232,4185,37217,146959,1199,1132,1885,26625,752170,271457,294566,50650,140487,11663,2894,0,0,579189,227358,205400,37873,109540,8366,2039,0,0,611715,215834,220138,28999,123441,1206,497,3024,18576,757513,249706,290323,46956,171706,24114,3383,611715,215834,220138,37089,136145,19145,2463,759905,250003,291536,47601,171004,23443,3316
43,29,227863,163299,60116,295759,207251,82132,189862,140030,49832,192338,136792,55546,235448,169293,53211,459981,140283,227787,25335,61891,2438,832,23745,59251,1076,1727,0,787652,172090,477491,38573,101868,9209,2678,0,0,466020,137857,233800,25781,63407,2445,821,0,0,0,0,0,783102,167572,474434,39715,104402,11116,3285,30314,90464,1072,946,2920,15380,739660,173631,441122,36184,92653,10205,2697,0,0,546365,148924,299501,25992,72781,7390,1943,0,0,592272,138592,337402,22932,76574,1026,611,2892,12243,758143,159456,456480,38552,104562,26473,2864,592272,138592,337402,29511,85078,20618,2114,760643,159707,457936,40906,105870,27774,3169
44,30,254798,185324,64583,326902,226389,93921,216745,165940,50805,219894,164147,55747,257755,185014,58019,494551,255092,147363,19328,67712,2615,554,17464,62596,970,1977,0,760170,333287,286925,28297,112536,9446,2909,0,0,503943,259083,153063,19103,66933,2754,896,0,0,0,0,0,761655,334587,284630,30167,110923,10360,3476,20263,93505,1300,1081,4066,22223,754168,316927,298542,25720,114427,8770,3143,0,0,595790,270475,212537,19644,92408,6770,2483,0,0,624290,289055,214168,18644,80479,848,540,2944,17612,757536,335714,277865,31358,110732,19861,2896,624290,289055,214168,25506,91928,15921,2110,759788,336011,278970,32436,110992,20146,2954
52,31,219398,149190,66183,293296,194504,93124,180030,125737,54293,183352,122940,60412,222797,153802,57081,480589,65603,242397,12195,155290,1958,1520,11391,153572,1287,1762,0,772685,74841,431904,19050,250195,18024,5088,0,0,481935,63709,240655,14170,157447,2614,1674,0,0,0,0,0,765976,72095,418254,21612,257235,20784,5243,15077,244594,2094,2533,1434,9895,764833,95517,434389,18813,222230,10793,2748,0,0,568951,83265,297521,13347,176699,7639,1984,0,0,601179,60202,312998,10239,206910,1017,545,1950,7318,757505,67031,417229,18915,258415,24031,2737,601179,60202,312998,14257,214276,18707,2027,760234,67298,418946,21343,258845,24886,2991
42,32,348280,261424,81103,416191,306589,102456,312847,240100,72747,317166,239978,77188,349174,259212,72275,568489,404035,72649,29328,56370,3267,476,24775,47933,1056,2779,0,757044,506196,109695,44217,97116,8593,2590,0,0,571390,399335,75776,31550,58360,3383,435,0,0,0,0,0,760720,498600,112784,46811,102512,9017,2938,32419,75679,1078,511,3060,36589,714402,502420,94164,34092,82891,6870,2482,0,0,599260,427995,72829,26936,69386,5412,1989,0,0,643657,421889,91283,27130,68495,1081,547,4601,28631,757878,488173,113855,45647,101198,13405,3069,643657,421889,91283,37217,83984,10754,2254,759411,488420,114488,45234,100455,13484,2919
