ID,Label,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
48,43,191697,173648,15240,242294,213165,24254,161137,148906,12231,163327,147738,15589,201645,184930,9269,388284,11943,186862,180957,4934,2741,839,177641,4452,982,1558,0,773561,14105,511170,241926,10574,11723,3001,0,0,397600,12635,199397,175279,5543,2679,1239,0,0,0,0,0,772932,14709,516259,235062,12476,14077,3301,217861,7275,1239,1477,3351,10761,727491,9942,454943,263087,7747,10752,1898,0,0,500225,8083,293458,196564,5810,7402,1222,0,0,556068,14423,347385,170030,7485,884,620,3339,11902,753719,17062,493195,235707,13694,28790,2444,556068,14423,347385,185905,10684,21817,1683,759780,17214,495184,238222,16884,29757,2768
46,44,271427,181893,83497,340048,230109,101844,234553,159222,75331,238618,157324,81294,274468,181223,75702,504832,192567,172515,57702,71932,4308,3387,54678,67801,1777,3125,0,763119,224237,338138,85326,117460,15823,9888,0,0,505795,192272,177189,56583,70147,4303,2604,0,0,0,0,0,758266,224407,338759,83252,115419,13959,8184,68046,96745,1712,3655,2084,22858,748169,241305,315331,84991,107498,12925,10562,0,0,562800,208819,208843,59619,82612,9332,6698,0,0,601244,186610,244362,55198,84777,1570,4161,3184,21382,759064,210365,335895,88674,122881,26624,10033,601244,186610,244362,66510,97755,20786,7389,760586,210116,336633,88377,122040,26454,9601
36,45,257558,138934,113811,335591,176948,152230,219177,119108,100069,223253,117418,105835,253617,142312,97161,495493,162573,116856,14663,193251,3452,2030,13512,188453,1446,2653,0,755533,193486,238669,23976,299384,9148,6511,0,0,499110,160499,118557,13943,197974,3062,2048,0,0,0,0,0,751906,190462,231776,23827,306582,9363,6691,16467,286116,1110,2881,2178,20916,736587,216659,225438,22169,271844,10039,6753,0,0,559255,183671,149151,15266,208535,7019,4488,0,0,605363,149185,176972,13160,244698,1081,2515,2166,15586,759009,170549,244854,23709,316615,19022,7016,605363,149185,176972,17582,255908,14392,5130,760553,170910,245656,24549,316105,19236,6883
34,46,212715,129983,78428,273435,168161,99223,181889,111559,70330,183484,108472,75012,213941,131763,69383,425331,141232,204511,9365,65051,2175,1888,8406,62264,1051,1183,0,780742,165295,498242,17631,101192,9093,4580,0,0,443174,141375,219109,9069,68473,2075,1559,0,0,0,0,0,781448,162399,496397,17207,106474,11119,4345,10498,94107,1379,2131,974,13563,761091,171312,487656,17809,86179,10921,4356,0,0,544666,146162,317862,12500,67765,7630,2877,0,0,579876,128325,345529,9386,80514,1068,1490,2117,11447,757504,145943,482383,18274,108550,32747,4711,579876,128325,345529,13592,88368,24537,3378,759842,146330,484024,21102,110510,31411,4974
35,47,305689,162787,136609,378584,209270,161003,271696,144926,126770,277157,144582,132575,296973,152415,126202,499299,299718,81944,10116,99350,3820,1718,8619,92317,1460,2824,0,736622,373466,154779,16708,187805,7910,6344,0,0,505795,296670,86103,10756,103796,3787,1832,0,0,0,0,0,737772,364932,154151,18953,195586,9042,6300,10546,169592,1401,2446,2791,31913,676260,373605,136295,13868,150240,7488,4561,0,0,533788,312828,93284,9723,114872,5322,3205,0,0,613719,303272,122006,10091,147045,977,1243,3270,25815,759309,353757,163985,20896,211693,16377,5234,613719,303272,122006,15803,163326,12481,3747,760368,354109,164470,21213,211211,16357,5244
28,48,308001,119216,182861,389273,161267,219523,268460,103915,164545,273950,102244,171706,302857,109880,175870,531210,346949,109627,23568,36275,9428,2435,20664,30533,5505,3452,0,760216,446016,199814,40101,66245,18986,8800,0,0,538644,347670,116170,23242,37036,8750,2165,0,0,0,0,0,768885,442053,209854,41468,69269,20469,8830,25656,45806,6594,3189,1630,34098,702842,442139,167314,31844,54180,17991,5866,0,0,520096,348428,106881,20153,36770,11828,3516,0,0,581518,342416,141496,20419,40114,5893,1969,2815,26396,759337,419727,206903,41533,75137,31442,7881,581518,342416,141496,28187,53579,22315,5143,760843,420303,207411,41003,74127,31314,7517
29,49,340096,178197,154992,410122,225617,175372,306995,160537,146458,314042,160402,153640,331094,166321,144618,548011,377976,108255,16305,37024,4195,1751,14113,31183,1859,2628,0,767239,467543,206196,26043,65087,10077,6969,0,0,548285,370200,113025,16904,38897,4379,1884,0,0,0,0,0,770998,454889,213386,29048,70870,11813,8082,18492,47239,2160,2695,1620,30517,729640,461003,185446,24433,55207,10817,7176,0,0,560248,377558,121663,16261,39842,7564,4690,0,0,605899,372959,147184,13039,40402,1769,2734,3087,24725,758897,442148,205882,27076,70832,22250,8154,605899,372959,147184,19681,53191,16837,5630,760490,442602,206581,27426,70574,21810,7966
26,50,318634,203501,108253,387314,256775,121208,283352,181331,102021,290631,181809,108822,315458,194215,101122,523059,336240,99325,20955,56438,4830,1863,18388,49831,1928,3788,0,746537,407230,192918,32864,113090,10232,6525,0,0,531107,339098,102789,20020,59650,4555,2132,0,0,0,0,0,744071,405626,189360,31664,115900,11509,6348,20192,90383,1910,2437,1695,32469,700665,407103,171058,30013,91091,9753,4203,0,0,563885,349687,117543,22655,70801,7330,3003,0,0,620264,343116,142569,18194,82256,1633,1312,3859,27325,760176,395185,194054,33726,126815,18405,5772,620264,343116,142569,26272,97484,13985,4050,761056,395313,194298,33717,126327,19017,5511
27,51,304822,186727,111391,374602,238227,127462,266977,163994,102983,274284,163995,110289,304884,180632,105017,539060,298350,97920,36065,97542,4051,2156,32428,89400,1277,3740,0,777644,367517,189305,60840,165205,11310,7329,0,0,544430,296790,102887,35276,100213,4443,1900,0,0,0,0,0,779604,361555,189341,60041,172160,11886,6844,43498,144895,1593,1993,2193,34536,713057,359862,160744,53895,139374,10756,7160,0,0,551720,300932,107117,35931,104811,7608,4748,0,0,606411,286215,132108,32860,117937,1617,2500,3391,29783,757897,335535,182025,60154,174662,19794,8710,606411,286215,132108,42931,136100,14997,6204,759758,336040,182609,59329,173112,20250,8320
25,52,243461,161445,77440,319002,208947,103390,200272,134953,65319,203407,130637,72770,253146,171382,68474,482652,110902,239615,48364,74786,2422,3364,45871,70311,974,3538,0,775171,129698,453568,76280,127652,9608,9120,0,0,497880,114459,247854,50732,75104,2636,3223,0,0,0,0,0,776366,132747,451108,78956,126519,12330,9432,60433,101116,1112,3814,1866,24170,719419,137561,404410,72245,114204,11149,9369,0,0,522529,118003,270165,50240,85387,7693,6042,0,0,580927,103803,324639,43373,84962,1361,3173,2178,17438,761464,120068,448634,73080,129271,24876,9799,580927,103803,324639,53439,100026,18824,6792,760136,119544,448343,72078,127816,28104,9419
